Longitude;Latitude;DEPART;Predicted Geothermal Gradient (C/Km)
-72.13199263;4.680286412;CASANARE;27.561884
-74.27278739;8.806533481;BOLIVAR;27.951204
-75.3500588;6.296091365;ANTIOQUIA;31.661451
-73.76889209;5.673920493;BOYACA;37.772026
-75.63898062;9.15450172;CORDOBA;28.732359
-76.72145959;5.609168671;CHOCO;30.011995
-76.04174733;2.735855303;CAUCA;31.065748
-75.41397634;3.010131881;HUILA;34.929178
-74.68692166;10.27395769;MAGDALENA;31.984152
-73.49823427;3.219240245;META;30.02281
-71.6803088;12.18701745;LA GUAJIRA;31.730368
-74.27943661;7.094725396;ANTIOQUIA;27.927488
-73.61762107;3.824032178;META;33.278765
-72.66536545;7.030736627;NORTE DE SANTANDER;31.96182
-72.19242572;5.602451919;CASANARE;24.62843
-75.88948163;8.542741999;CORDOBA;29.480722
-75.40194805;5.459148151;CALDAS;35.40227
-74.90694111;6.486403417;ANTIOQUIA;30.00844
-73.62189688;6.566556623;SANTANDER;32.782393
-75.56884246;6.486409579;ANTIOQUIA;33.502268
-76.26930278;3.20438686;CAUCA;34.87224
-76.95264223;3.865014474;VALLE DEL CAUCA;31.309958
-73.68951505;8.690069428;CESAR;27.385935
-74.19949224;5.819387661;BOYACA;27.291183
-75.5572449;2.834689819;HUILA;32.348925
-75.9458938;8.559949033;CORDOBA;28.030817
-73.11128182;8.30894442;NORTE DE SANTANDER;33.761518
-72.92355509;5.652704187;BOYACA;40.954315
-74.01328554;5.95461712;SANTANDER;30.394495
-76.97675595;1.219802815;PUTUMAYO;38.23188
-76.6679205;3.677661723;VALLE DEL CAUCA;32.868189
-76.16801063;1.941130345;HUILA;30.878366
-76.70011099;5.882833662;CHOCO;31.969614
-76.39528917;8.688113287;ANTIOQUIA;30.943888
