,Longitude,Latitude,DEPART,Predicted Geothermal Gradient (C/Km)
2615,-75.386375,3.066247,HUILA,26.961927
2616,-75.400609,3.042649,HUILA,27.441353
2617,-75.39335,3.042025,HUILA,26.897058
2618,-75.390467,3.060067,HUILA,26.858763
2619,-75.390939,3.074675,HUILA,26.931477
2620,-75.390586,3.067386,HUILA,26.946743
2621,-75.380225,3.078653,HUILA,27.045212
2622,-75.397825,3.074611,HUILA,27.054512
2623,-75.397908,3.067261,HUILA,27.119406
2624,-75.387756,3.092964,HUILA,27.15962
2625,-75.400892,3.061369,HUILA,27.384647
2626,-75.386986,3.085589,HUILA,27.039116
2627,-75.384106,3.089564,HUILA,27.076817
2628,-75.384047,3.082111,HUILA,26.992256
2629,-75.381211,3.08565,HUILA,27.35504
2630,-75.376756,3.082556,HUILA,27.258091
2631,-75.375844,3.073417,HUILA,27.293999
2632,-75.390519,3.031339,HUILA,26.737225
2633,-75.394172,3.078347,HUILA,26.99944
2634,-75.397758,3.081978,HUILA,27.108482
2635,-75.376175,3.060297,HUILA,27.430204
2636,-75.390528,3.045814,HUILA,26.826164
2637,-75.404956,3.045836,HUILA,27.63992
2638,-75.37615,3.049439,HUILA,27.233887
2639,-75.378344,3.064797,HUILA,27.469528
2640,-75.404592,3.052914,HUILA,27.475952
2641,-75.386867,3.02735,HUILA,26.636328
2642,-75.409544,3.0412,HUILA,27.0754
2643,-75.380942,3.067375,HUILA,27.34504
2644,-75.393364,3.087069,HUILA,27.134981
2645,-75.383114,3.07895,HUILA,27.193237
2646,-75.391322,3.089461,HUILA,27.129604
2647,-75.393236,3.093736,HUILA,27.11743
2648,-75.393811,3.056406,HUILA,26.911245
2649,-75.375056,3.067656,HUILA,27.253284
2650,-71.417397,4.928453,CASANARE,30.09894
2651,-75.228622,9.328556,SUCRE,22.000286
2652,-73.855528,3.379444,META,26.585691
2653,-73.612567,6.792208,SANTANDER,20.92666
2654,-73.609156,6.787267,SANTANDER,21.470303
2655,-73.619561,6.777003,SANTANDER,21.455421
2656,-73.611925,6.796164,SANTANDER,20.893566
2657,-76.923992,0.307028,PUTUMAYO,27.270525
2658,-76.918606,0.3422,PUTUMAYO,27.104473
2659,-76.928906,0.315928,PUTUMAYO,27.292246
2660,-76.924189,0.312597,PUTUMAYO,27.26676
2661,-76.9219,0.319928,PUTUMAYO,27.24786
2662,-73.897461,7.441686,SANTANDER,19.647657
2663,-72.909203,4.675636,CASANARE,25.703959
2664,-74.995583,9.413747,BOLÍVAR,21.349052
2665,-73.599036,7.124022,SANTANDER,18.906242
2666,-73.575156,7.985839,CESAR,19.340317
2667,-73.576872,7.995497,CESAR,19.362404
2668,-74.267097,9.271539,MAGDALENA,20.831448
2669,-73.870103,7.093933,ANTIOQUIA,20.649464
2670,-73.725731,7.719386,SANTANDER,17.375252
2671,-75.352723,2.941907,HUILA,25.067427
2672,-75.352808,2.962211,HUILA,25.074984
2673,-75.348783,2.962628,HUILA,25.00222
2674,-75.351903,2.955019,HUILA,25.09073
2675,-75.353283,2.958972,HUILA,25.124454
2676,-75.351914,2.955014,HUILA,25.103243
2677,-75.350811,2.966456,HUILA,24.9575
2678,-75.353297,2.958886,HUILA,25.125053
2679,-75.354447,2.966078,HUILA,25.087086
2680,-75.352394,2.970856,HUILA,25.131168
2681,-75.355111,2.961044,HUILA,25.194103
2682,-75.349594,2.969142,HUILA,25.04734
2683,-73.533261,7.126953,SANTANDER,18.392918
2684,-73.656953,7.814561,CESAR,17.924223
2685,-71.600436,5.487231,CASANARE,28.014917
2686,-74.691436,10.699017,MAGDALENA,18.960596
2687,-74.724908,5.667283,CALDAS,24.50071
2688,-73.457228,7.328122,SANTANDER,19.319729
2689,-73.454308,7.364514,SANTANDER,19.66398
2690,-73.452481,7.338631,SANTANDER,19.484573
2691,-73.456767,7.333639,SANTANDER,19.395973
2692,-73.456797,7.340822,SANTANDER,19.4633
2693,-73.451811,7.336603,SANTANDER,19.47237
2694,-73.455042,7.328142,SANTANDER,19.340664
2695,-73.453275,7.360006,SANTANDER,19.62628
2696,-73.453175,7.361369,SANTANDER,19.650612
2697,-73.460131,7.348278,SANTANDER,19.419682
2698,-73.452921,7.355259,SANTANDER,19.568272
2699,-73.452653,7.352758,SANTANDER,19.55132
2700,-73.454003,7.333336,SANTANDER,19.4254
2701,-73.457522,7.344869,SANTANDER,19.485493
2702,-73.453258,7.353319,SANTANDER,19.548185
2703,-73.45485,7.368525,SANTANDER,19.669601
2704,-73.457139,7.335606,SANTANDER,19.406708
2705,-73.456731,7.356069,SANTANDER,19.539358
2706,-73.460086,7.368422,SANTANDER,19.526821
2707,-73.449414,7.332928,SANTANDER,19.427185
