DEPART;Latitude;Longitude;Elevation (m);Surface Temperature (C);Moho Depth (m);Magnetic Anomaly (nT);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Right-lateral Fault;Normal Fault;Active Fault;Curie Depth (Km);Vertical Gravity Gradient (E);Free Air Anomaly (mGal);Bouguer Anomaly (mGal);Apparent Geothermal Gradient (C/Km)
LA GUAJIRA;11.413205;-72.76908;23.1648;28.084176;34182.19471;-108.4654;27677.66379;75831.40434;40812.82167;133762.6713;27089.80118;80924.97728;21352.61812;20;-26.71875;-35.575012;-38.56172673;18.41080628
LA GUAJIRA;11.440394;-72.768838;27.432;28.06284;34348.31063;-103.007;30672.2975;78827.39322;42873.81851;136744.5404;29736.29678;79151.73187;24321.82038;20;-27.75;-35.575012;-40.4009042;20.76540754
HUILA;3.042769;-75.316558;501.7008;25.691496;45394.59903;-4.334;3459.684891;36196.32693;12238.36895;10691.1555;30461.55985;160242.3316;12249.55139;30;-121;-114.100006;-194.3944982;21.41513695
HUILA;3.036419;-75.313936;482.4984;25.787508;45382.11498;-4.334;4028.614721;35996.69517;12964.20695;9972.991721;29963.53571;160747.3535;12678.46345;30;-121;-132.80002;-194.3944982;21.75223862
META;4.022164;-73.458267;300.8376;26.695812;36145.99057;-121.3978;25625.885;74577.1561;9797.10937;53176.34597;51198.25075;265038.948;23818.51988;32;-33.46875;-61.149994;-103.2557658;25.02049029
META;4.022296;-73.458226;299.3136;26.703432;36146.75157;-121.3978;25622.52341;74563.73964;9786.266285;53189.25873;51210.21552;265029.0453;23816.87349;32;-33.46875;-61.149994;-103.2557658;28.82081541
META;4.021857;-73.454194;298.704;26.70648;36153.91771;-121.3978;26035.1896;74700.67671;9416.221894;53027.71927;51554.25207;264636.0742;24247.26347;32;-33.46875;-61.149994;-103.2557658;25.9018155
SUCRE;9.469942;-75.001525;89.916;27.75042;35141.21099;-7.9463;22161.42266;39331.61677;41909.66113;139874.2976;25736.11232;302801.5086;44987.13393;20;11.1875;-10.725006;-13.99117449;20.00091564
CASANARE;5.552917;-72.219967;415.1376;26.124312;37997.17178;-38.7833;19361.66798;77122.98716;2185.277255;118194.5336;58492.3154;125311.7703;3243.684813;34;-42.5625;-43.05002;-119.007123;24.07480075
HUILA;3.05175;-75.339747;468;25.86;45534.9528;-3.6517;4501.527026;38661.73747;9898.677101;12124.31282;33222.86841;157481.116;9522.598993;30;-91.03125;-114.100006;-170.0575548;21.51606093
HUILA;3.078261;-75.328169;460.5528;25.897236;45435.39182;-2.7063;2747.481327;37238.369;8556.492243;14732.53967;33119.52681;157779.7729;10005.53033;30;-91.03125;-114.100006;-174.4146283;31.57069951
HUILA;2.975311;-75.350061;490;25.75;45653.67922;-4.7005;11794.61146;41363.7113;9541.900965;5505.046726;32631.71001;159359.2463;9464.48212;30;-115.03125;-132.80002;-193.3354413;31.22421737
ANTIOQUIA;6.097736;-74.589531;136.8552;27.515724;37457.97803;30.7509;12413.83614;20297.44788;25019.7833;30418.54404;26786.87474;97149.59046;6913.901312;32;-3.09375;-35.725006;-46.87700312;25.89216003
ANTIOQUIA;6.097703;-74.5895;136.8552;27.515724;37458.16168;30.7509;12418.78588;20302.13914;25015.71544;30419.40578;26788.69252;97152.9077;6918.473624;32;-3.09375;-35.725006;-46.87700312;27.73469367
ANTIOQUIA;6.095506;-74.588153;137.4648;27.512676;37467.93065;30.7509;12686.10347;20583.88229;24823.67476;30411.8353;26837.61462;97294.75995;7149.644171;32;-3.09375;-35.725006;-46.87700312;30.22597761
ANTIOQUIA;6.095385;-74.588092;137.4648;27.512676;37468.4243;30.7509;12699.70427;20598.83553;24814.58509;30410.26849;26839.03467;97301.13166;7161.028805;32;-3.09375;-35.725006;-46.87700312;25.30016956
ANTIOQUIA;6.08966;-74.583466;139.2936;27.503532;37498.44429;30.7509;13495.43463;21382.26723;24201.07589;30509.01715;27096.95193;97797.31765;7877.433389;32;-3.09375;-35.725006;-46.87700312;23.06877009
ANTIOQUIA;6.097803;-74.589592;136.8552;27.515724;37457.61204;30.7509;12403.95622;20288.00648;25027.83263;30416.97624;26783.38566;97143.07048;6904.816267;32;-3.09375;-35.725006;-46.87700312;20.16059766
ANTIOQUIA;6.946972;-73.983742;107.5944;27.662028;41894.32171;20.4767;45082.09613;52215.43419;25569.6426;109722.504;26956.23915;5438.262662;26448.88422;36;-30.78125;-111.05002;-115.9307619;22.49229014
ANTIOQUIA;6.082466;-74.585613;137.16;27.5142;37507.49731;30.7509;13834.61319;22024.16491;24321.14281;29898.36282;26613.61199;97545.74014;7964.443855;32;-0.03125;-35.725006;-48.78563175;22.52324093
ANTIOQUIA;6.083133;-74.580152;137.4648;27.512676;37526.38513;30.7509;14239.40974;22190.5141;23731.48476;30459.01017;27211.12041;98151.23967;8493.960625;32;-25.4375;-35.725006;-55.56772354;18.77753248
LA GUAJIRA;11.680472;-72.71885;4;28.18;34375.10951;-75.4544;57714.95718;105836.0435;62140.70779;163819.2898;53751.43583;62410.75384;16895.83718;16;-44.03125;-41.875;-41.96793873;18.84776312
LA GUAJIRA;11.699928;-72.721567;6;28.17;34316.89004;-75.4544;59803.50626;107936.5386;64236.26613;165904.2285;55924.4542;62091.85321;15716.54715;16;-30.625;-41.875;-40.6739061;18.27638745
LA GUAJIRA;11.699025;-72.730275;4;28.18;34359.48001;-73.7371;59581.10883;107727.8347;64520.7013;165668.7186;55971.13237;63034.40497;16538.81538;16;-30.625;-41.875;-40.6739061;17.70629908
LA GUAJIRA;11.694333;-72.739208;6;28.17;34414.1619;-73.7371;58953.79208;107107.6766;64447.12563;165019.7107;55626.01305;64110.85397;17633.45255;16;-30.625;-41.875;-40.88742782;21.0487987
LA GUAJIRA;11.698617;-72.731208;2;28.19;34365.04367;-73.7371;59523.95233;107671.723;64520.43941;165609.6959;55943.12248;63144.41334;16647.79572;16;-30.625;-41.875;-40.6739061;15.23913005
LA GUAJIRA;11.694478;-72.738414;5.7912;28.171044;34410.28088;-73.7371;58979.0587;107132.5418;64425.54135;165047.3795;55626.26925;64023.11091;17553.51052;16;-30.625;-41.875;-40.88742782;18.10964262
ATLÁNTICO;10.283256;-74.716783;31.6992;28.041504;35578.81323;-29.3312;36337.39912;53643.12774;31650.39792;194460.6598;33617.12879;327508.7347;30408.91058;20;-5.65625;-30.425018;-40.14625346;21.98636082
ATLÁNTICO;10.171614;-74.85825;38.1;28.0095;35993.85548;-18.6256;19434.13909;44742.96039;17223.91932;201250.6415;37067.0375;347210.9548;17055.12745;18;3.875;-15.774994;-17.78054525;20.93429765
ANTIOQUIA;6.179811;-74.540508;128.9304;27.555348;37410.63554;31.5688;14296.4212;16398.2447;22883.56015;40087.79714;22868.11895;99484.66752;9362.053762;32;-30.21875;-68.475006;-62.5579766;18.31171543
SANTANDER;6.874297;-74.081825;84.1248;27.779376;40859.69381;18.6246;32537.87389;63730.27241;32257.72142;100318.2596;22095.68883;8126.276092;23592.0415;36;-21.46875;-97.42502;-107.0035497;21.21145699
CASANARE;5.3959861;-71.8745361;176.784;27.31608;38072.98323;52.2795;60791.52866;111860.2935;35430.78455;159345.2136;88077.50622;83782.46375;35393.80337;34;-8.375;-62.475006;-78.15156269;22.73001102
CASANARE;5.3921472;-71.873925;175.8696;27.320652;38078.93672;52.2795;60994.22813;112285.8068;35774.77665;159515.4265;88476.45347;83481.06684;35725.99338;34;-8.375;-62.475006;-78.15156269;24.39092046
CESAR;8.007675;-73.7296;41.148;27.99426;37404.78609;19.8341;9863.083595;38621.6828;38465.53561;74922.96779;15494.77066;125216.4686;17813.70176;32;-51.40625;-100.725006;-109.9088514;19.96679545
CESAR;8.029803;-73.732778;41.4528;27.992736;37369.58645;19.9943;12021.6689;40579.96473;36615.04296;73042.625;15000.65327;127496.4203;18434.15766;32;-54.53125;-100.725006;-107.9920431;21.27296082
CESAR;8.024033;-73.734878;40.8432;27.995784;37388.14273;19.8341;11638.07397;39908.6209;37272.00476;73286.47066;14769.2871;126820.7814;17948.8781;32;-54.53125;-100.725006;-105.8267718;21.02314664
CESAR;8.063131;-73.758458;40.2336;27.998832;37397.82585;19.9943;9387.692644;42688.06496;35469.8862;68498.72813;12808.31844;130414.9842;15927.77977;32;-33.375;-82.05002;-95.75179009;21.11434786
